iter	Passed	Remaining
509	616	592
510	617	590
511	618	589
512	619	587
513	620	586
514	621	584
515	622	583
516	622	581
517	623	580
518	624	578
519	625	577
520	626	576
521	627	574
522	629	574
523	630	572
524	631	570
525	632	569
526	633	568
527	634	566
528	634	565
529	635	563
530	636	561
531	637	560
532	637	558
533	638	557
534	640	556
535	641	555
536	642	553
537	643	552
538	643	550
539	645	549
540	645	547
541	646	546
542	647	545
543	648	543
544	649	542
545	650	541
546	651	539
547	652	538
548	653	536
549	654	535
550	655	533
551	656	532
552	657	531
553	658	529
554	659	528
555	660	527
556	660	525
557	661	524
558	662	522
559	663	521
560	664	519
561	665	518
562	666	517
563	667	515
564	667	514
565	668	512
566	670	511
567	671	510
568	672	509
569	672	507
570	673	506
571	674	504
572	675	503
573	676	501
574	676	500
575	677	498
576	678	497
577	679	496
578	681	495
579	682	494
580	683	492
581	684	491
582	685	490
583	685	488
584	686	487
585	687	485
586	688	484
587	689	483
588	690	481
589	691	480
590	692	479
591	694	478
592	695	477
593	696	476
594	697	474
595	698	473
596	698	471
597	700	470
598	701	469
599	702	468
600	703	467
601	704	465
602	705	464
603	707	463
604	709	463
605	710	462
606	712	461
607	713	459
608	714	458
609	715	457
610	717	456
611	719	456
612	720	454
613	721	453
614	724	453
615	725	452
616	727	451
617	728	450
618	728	448
619	729	447
620	730	446
621	731	444
622	733	443
623	733	442
624	734	440
625	735	439
626	736	437
627	737	436
628	738	435
629	739	434
630	739	432
631	740	431
632	741	429
633	742	428
634	743	427
635	744	426
636	745	424
637	746	423
638	747	422
639	748	420
640	749	419
641	750	418
642	751	417
643	752	415
644	752	414
645	753	412
646	754	411
647	755	410
648	756	409
649	757	407
650	758	406
651	759	405
652	759	403
653	760	402
654	761	401
655	763	400
656	764	399
657	764	397
658	765	396
659	766	394
660	767	393
661	769	392
662	770	391
663	770	390
664	771	388
665	772	387
666	774	386
667	775	385
668	776	383
669	776	382
670	781	383
671	782	381
672	783	380
673	783	379
674	784	377
675	786	376
676	787	375
677	788	374
678	789	373
679	790	371
680	790	370
681	791	369
682	792	367
683	793	366
684	794	365
685	795	364
686	796	362
687	796	361
688	797	360
689	799	359
690	799	357
691	800	356
692	801	355
693	802	353
694	803	352
695	804	351
696	805	350
697	806	349
698	807	347
699	808	346
700	809	345
701	811	344
702	812	343
703	813	342
704	814	340
705	815	339
706	816	338
707	818	337
708	819	336
709	820	335
710	821	333
711	823	333
712	824	331
713	825	330
714	826	329
715	827	328
716	829	327
717	830	326
718	831	325
719	832	323
720	833	322
721	835	321
722	836	320
723	838	319
724	839	318
725	841	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	312
731	849	310
732	850	309
733	851	308
734	852	307
735	854	306
736	855	305
737	856	304
738	857	302
739	858	301
740	860	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	866	293
747	867	292
748	868	290
749	869	289
750	870	288
751	872	287
752	874	286
753	875	285
754	876	284
755	877	283
756	880	282
757	881	281
758	882	280
759	883	279
760	885	278
761	887	277
762	888	275
763	889	274
764	889	273
765	890	272
766	891	270
767	893	269
768	893	268
769	894	267
770	895	265
771	896	264
772	897	263
773	898	262
774	899	261
775	901	260
776	902	258
777	905	258
778	905	257
779	906	255
780	907	254
781	908	253
782	909	252
783	910	250
784	911	249
785	912	248
786	913	247
787	914	245
788	914	244
789	916	243
790	916	242
791	917	241
792	918	239
793	919	238
794	920	237
795	921	236
796	922	234
797	923	233
798	924	232
799	925	231
800	926	230
801	926	228
802	928	227
803	929	226
804	930	225
805	931	224
806	932	222
807	932	221
808	933	220
809	934	219
810	935	217
811	936	216
812	937	215
813	938	214
814	938	213
815	939	211
816	940	210
817	941	209
818	942	208
819	943	207
820	944	205
821	945	204
822	945	203
823	947	202
824	948	201
825	949	199
826	950	198
827	950	197
828	951	196
829	953	195
830	954	194
831	955	192
832	956	191
833	957	190
834	958	189
835	958	188
836	959	186
837	961	185
838	961	184
839	962	183
840	963	182
841	963	180
842	965	179
843	966	178
844	967	177
845	968	176
846	968	175
847	969	173
848	970	172
849	972	171
850	973	170
851	974	169
852	974	167
853	976	166
854	977	165
855	978	164
856	979	163
857	980	162
858	981	161
859	982	159
860	982	158
861	985	157
862	986	156
863	986	155
864	987	154
865	988	152
866	989	151
867	991	150
868	992	149
869	993	148
870	993	147
871	994	145
872	995	144
873	995	143
874	997	142
875	997	141
876	998	140
877	999	138
878	1000	137
879	1000	136
880	1001	135
881	1002	134
882	1004	133
883	1005	131
884	1005	130
885	1006	129
886	1007	128
887	1007	127
888	1009	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1017	114
899	1018	113
900	1018	111
901	1019	110
902	1020	109
903	1022	108
904	1023	107
905	1024	106
906	1024	105
907	1025	103
908	1026	102
909	1027	101
910	1028	100
911	1029	99
912	1030	98
913	1031	97
914	1031	95
915	1032	94
916	1033	93
917	1034	92
918	1035	91
919	1036	90
920	1036	88
921	1037	87
922	1038	86
923	1039	85
924	1040	84
925	1041	83
926	1042	82
927	1043	80
928	1043	79
929	1044	78
930	1045	77
931	1046	76
932	1047	75
933	1048	74
934	1048	72
935	1049	71
936	1050	70
937	1050	69
938	1051	68
939	1051	67
940	1053	66
941	1054	64
942	1054	63
943	1055	62
944	1056	61
945	1056	60
946	1057	59
947	1058	58
948	1059	56
949	1060	55
950	1061	54
951	1061	53
952	1062	52
953	1063	51
954	1065	50
955	1066	49
956	1067	47
957	1067	46
958	1068	45
959	1069	44
960	1069	43
961	1071	42
962	1071	41
963	1072	40
964	1073	38
965	1074	37
966	1074	36
967	1075	35
968	1076	34
969	1077	33
970	1078	32
971	1079	31
972	1080	29
973	1080	28
974	1081	27
975	1082	26
976	1083	25
977	1084	24
978	1085	23
979	1086	22
980	1087	21
981	1088	19
982	1089	18
983	1090	17
984	1091	16
985	1092	15
986	1093	14
987	1094	13
988	1094	12
989	1095	11
990	1096	9
991	1097	8
992	1098	7
993	1099	6
994	1100	5
995	1100	4
996	1101	3
997	1102	2
998	1103	1
999	1104	0
